Gender,Site,All Ages (Number of cases),Age Unknown, 0-4, 5-9,10-,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Crude Rate,ASR (World Std),ICD 10th
Male,Lip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C00
Male,Tongue,21,0,0,0,0,0,0.3,0.4,0.5,0,0.5,1,1.2,2.2,2.6,2.8,5.7,3.2,0.5,0.7,C01-C02
Male,Mouth,7,0,0,0,0,0,0.3,0.4,0,0,0.5,0.5,0,0,0,0,0,4.8,0.2,0.2,C03-C06
Male,Salivary glands,15,0,0,0,0,0,0,0.4,0.5,0,0,1,0,0.7,3.5,1.4,5.7,3.2,0.4,0.5,C07-C08
Male,Tonsil,4,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.9,0,1.9,1.6,0.1,0.1,C09
Male,Other Oropharynx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C10
Male,Nasopharynx,77,0,0,0,0.4,0.6,0.7,2.3,2,0.5,4,5.6,6.4,4.3,6.9,8.3,11.4,4.8,2,2.4,C11
Male,Hypopharynx,4,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,4.8,0.1,0.1,C12-C13
Male,Pharynx unspec.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14
Male,Oesophagus,33,0,0,0,0,0,0,0,0,0,0.5,1.5,1.2,3.6,6.1,2.8,5.7,15.9,0.9,1.1,C15
Male,Stomach,35,0,0,0,0,0,0,0.4,0.5,1.6,0.5,2,3.5,2.9,3.5,2.8,3.8,11.1,0.9,1.1,C16
Male,Small intestine,8,0,0,0,0,0,0,0,0,0,0,0,0.6,1.4,1.7,1.4,3.8,0,0.2,0.3,C17
Male,Colon,152,0,0,0,0,0.2,0,1.6,2,3.8,3.5,9.2,10.5,15.8,13.9,30.6,26.7,30.2,4,5,C18
Male,Rectum,204,0,0,0,0,0,0,0.8,3,3.3,4.5,8.7,11,21.5,28.6,40.3,41.9,49.2,5.3,6.8,C19-C20
Male,Anus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,C21
Male,Liver,166,0,0.7,0,0,0,0.7,1.2,2,4.4,3.5,10.2,16.3,16.5,24.2,29.2,13.3,19.1,4.3,5.4,C22
Male,Gallbladder etc.,18,0,0,0,0,0,0,0,0,1.1,0.5,1,1.7,1.4,0.9,4.2,5.7,1.6,0.5,0.6,C23-C24
Male,Pancreas,43,0,0,0,0,0,0,0,0,2.2,1,2.6,2.9,2.2,6.1,15.3,5.7,4.8,1.1,1.5,C25
Male,"Nose, sinuses etc.",14,0,0.2,0.2,0,0.2,0.3,0,0,0,0.5,0,2.9,0,2.6,0,1.9,0,0.4,0.4,C30-C31
Male,Larynx,35,0,0,0,0,0,0,0,1,0.5,0.5,0,4.7,2.9,7.8,2.8,9.5,4.8,0.9,1.2,C32
Male,"Trachea,Bronchus,Lung",333,0,0,0,0,0,0.3,0.8,2,3.3,7.1,13.8,20.4,33,56.3,63.9,72.4,77.8,8.7,11.2,C33-C34
Male,Other Thoracic organs,9,0,0,0,0,0,0,0.4,0,0.5,0.5,0,0.6,0.7,0.9,1.4,1.9,1.6,0.2,0.3,C37-C38
Male,Bone,38,0,0,0,0.8,1.9,2,0.8,0.5,0.5,0.5,0,1.7,0,4.3,2.8,3.8,3.2,1,1,C40-C41
Male,Melanoma of Skin,12,0,0,0,0,0,0,0,0,0,0,1,1.7,2.2,0,4.2,0,1.6,0.3,0.4,C43
Male,Other Skin,64,0,0,0.2,0,0.2,0.3,0.4,1,2.2,1,3.1,2.3,2.9,5.2,13.9,19.1,19.1,1.7,2.2,C44
Male,Mesothelioma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C45
Male,Kaposi sarcoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C46
Male,"Connective,Soft tissue",12,0,0.5,0,0.2,0,0,0,0.5,0.5,1,0,1.2,0.7,0,1.4,1.9,0,0.3,0.4,C47;C49
Male,Breast,4,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2.6,0,0,0,0.1,0.1,C50
Male,Penis,5,0,0.2,0,0,0,0,0,0,0,0,0,0,2.2,0,1.4,0,0,0.1,0.2,C60
Male,Prostate,170,0,0,0,0,0,0.7,0,0,0.5,0.5,2,5.8,8.6,22.5,43.1,68.6,74.6,4.4,5.9,C61
Male,Testis,27,0,0.5,0,0.4,0.4,1,0.4,0.5,1.6,0,0.5,0.6,2.9,0.9,4.2,5.7,0,0.7,0.8,C62
Male,Other male genital,3,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,1.9,0,0.1,0.1,C63
Male,Kidney,30,0,0,0,0,0.4,0.3,0,0,0,1.5,0.5,2.3,2.9,4.3,8.3,1.9,4.8,0.8,1,C64
Male,Renal Pelvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C65
Male,Ureter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,C66
Male,Bladder,124,0,0.2,0,0,0,0,0,0,0.5,1,5.6,5.2,7.2,22.5,29.2,26.7,46,3.2,4.2,C67
Male,Other Urinary organs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C68
Male,Eye,12,0,1.8,0.4,0,0,0,0,0,0,0,0,0,0.7,0,0,0,1.6,0.3,0.3,C69
Male,"Brain, Nervous system",56,0,2.3,1.1,1,1.1,1.3,0.8,1.5,1.1,1.5,1,2.9,2.9,1.7,1.4,3.8,1.6,1.5,1.5,C70-C72
Male,Thyroid,46,0,0,0.2,0.2,0.2,0,0.8,0.5,1.6,1.5,2.6,1.7,2.2,5.2,9.7,17.1,1.6,1.2,1.5,C73
Male,Adrenal gland,4,0,0,0,0,0,0,0,0,0,0.5,0,0,0.7,0.9,1.4,0,0,0.1,0.1,C74
Male,Other Endocrine,7,0,0,0,0.2,0,0,0,0,0,0.5,1,0,0.7,1.7,0,0,0,0.2,0.2,C75
Male,Hodgkin disease,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,C81
Male,Non-Hodgkin lymphoma,131,0,0.5,0.9,2.2,0.8,2.6,2.3,2,4.4,7.1,5.1,6.4,10.8,13.9,13.9,7.6,6.4,3.4,3.9,C82-C85;C96
Male,Immunoproliferative dis.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C88
Male,Multiple Myeloma,31,0,0,0,0,0,0,0,0,0.5,1.5,1,1.7,6.5,4.3,5.6,5.7,1.6,0.8,1,C90
Male,Lymphoid Leukaemia,26,0,2.5,1.9,0.6,0.2,0.3,0,0.5,0,0,0,0,0,0,0,0,0,0.7,0.6,C91
Male,Myeloid Leukaemia,73,0,1.2,0.6,0.4,0.8,2,0.8,2.5,2.2,1.5,3.6,4.1,6.5,4.3,4.2,3.8,9.5,1.9,2.1,C92-C94
Male,Leukaemia unspec.,46,0,2.5,2.1,0.8,0.8,0.7,0.8,1,0.5,0.5,0,2.3,0.7,2.6,0,0,1.6,1.2,1.2,C95
Male,Other & unspecified,3,0,0,0,0,0.2,0.3,0,0,0,0,0,0,0,0,0,0,1.6,0.1,0.1,Other
Male,All sites Total,2105,0,13,8,7,8,14,16,25,38,48,84,124,172,264,351,387,413,54.8,68,All
Female,Lip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C00
