Gender,Site,All Ages (Number of cases),Age Unknown, 0-4, 5-9,10-,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Crude Rate,ASR (World Std),ICD 10th
Male,Lip,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1.5,4.6,0.1,0.2,C00
Male,Tongue,38,0,0,0,0,0,0,0.3,0,0.7,0.8,1.3,2.5,4.7,3.7,3.4,4.5,9.2,1,1,C01-C02
Male,Mouth,33,0,0,0,0,0.6,0,0.3,0,0,0.4,0,1,1.8,5.2,6.9,1.5,15.4,0.9,1,C03-C06
Male,Salivary glands,38,0,0,0,0,0.3,0,0.3,0.4,1.1,1.2,1.7,2,3,3.7,5.7,6.1,3.1,1,1,C07-C08
Male,Tonsil,15,0,0,0,0,0,0,0.3,0,0,0.4,0.4,0.5,1.8,3.7,1.1,1.5,1.5,0.4,0.4,C09
Male,Other Oropharynx,7,0,0,0,0,0,0.3,0,0,0,0,0,0,0,2.2,1.1,3,0,0.2,0.2,C10
Male,Nasopharynx,394,0,0,0,1.2,1.5,2.3,2.9,6.7,13.6,19.4,24.7,27,31.5,26.6,37.9,28.8,15.4,10.8,10.2,C11
Male,Hypopharynx,20,0,0,0,0,0,0,0,0,0,0,0,0.5,1.8,0.7,2.3,10.6,9.2,0.5,0.6,C12-C13
Male,Pharynx unspec.,3,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0,0,0,0,1.5,0.1,0.1,C14
Male,Oesophagus,85,0,0,0,0,0,0.3,0,0.4,0,0.4,3.4,2,5.3,14.8,20.7,12.1,23.1,2.3,2.5,C15
Male,Stomach,238,0,0,0,0.3,0,0,0,0.4,1.8,1.6,7.2,12.3,11.9,27.3,36.8,53,93.9,6.5,6.9,C16
Male,Small intestine,19,0,0,0,0,0,0,0,0.4,0,0.4,1.3,0,1.2,2.2,6.9,4.5,0,0.5,0.6,C17
Male,Colon,442,0,0,0,0.3,0,0.3,0,0.7,2.2,7.1,12.3,18.2,30.9,44.3,77,106.1,152.3,12.1,12.8,C18
Male,Rectum,357,0,0,0,0,0,0,0.6,1.1,2.9,4.3,10.6,22.6,26.1,42.1,59.8,59.1,107.7,9.8,10.2,C19-C20
Male,Anus,11,0,0,0,0,0,0.3,0,0,0,0,0,0,1.2,2.2,2.3,0,4.6,0.3,0.3,C21
Male,Liver,361,0,1,0,0.3,0,0.3,0.3,1.4,2.9,5.1,8.9,19.2,38.6,47.2,52.9,62.1,83.1,9.9,10.2,C22
Male,Gallbladder etc.,38,0,0,0,0,0,0,0,0,0,0.8,0.9,2.5,5.3,2.2,5.7,7.6,10.8,1,1.1,C23-C24
Male,Pancreas,145,0,0,0,0,0,0,0,0,1.1,3.2,5.1,2.9,11.9,14.8,32.2,27.3,46.2,4,4.2,C25
Male,"Nose, sinuses etc.",28,0,0,0,0.3,0,0.3,0,0,0.7,0.8,1.3,3.4,1.2,3.7,1.1,1.5,4.6,0.8,0.7,C30-C31
