Gender,Site,All Ages (Number of cases),Age Unknown, 0-4, 5-9,10-,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Crude Rate,ASR (World Std),ICD 10th
Male,Lip,5,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.4,0,1.6,0,0.1,0.1,C00
Male,Tongue,62,0,0,0,0,0,0,0,0.3,0.6,1.4,3.9,0.9,2.8,4.9,3.2,4,6.3,1.1,1,C01-C02
Male,Mouth,43,0,0,0,0,0,0,0.3,0.3,1.8,0.3,0.8,0.6,2.1,4.4,2.5,4,3.2,0.8,0.7,C03-C06
Male,Salivary glands,30,0,0,0.2,0,0,0.2,0.8,0.3,0.6,0.9,0.8,0.3,1.8,1.8,1.3,1.6,1.6,0.5,0.5,C07-C08
Male,Tonsil,13,0,0,0,0,0,0,0.3,0,0,0.3,0.6,0.3,0.7,0.9,0.6,0.8,1.6,0.2,0.2,C09
Male,Other Oropharynx,10,0,0,0,0,0,0,0,0,0,0,0.8,0.6,0,0.4,0,1.6,1.6,0.2,0.2,C10
Male,Nasopharynx,459,0,0,0,0.2,0.5,0.6,2.1,5.7,12.2,17.4,18.3,18.7,24.2,24,21.6,25.9,7.1,8,7.7,C11
Male,Hypopharynx,19,0,0,0,0,0.2,0.2,0,0,0,0,0.6,1.2,0,1.3,0.6,3.2,2.4,0.3,0.3,C12-C13
Male,Pharynx unspec.,5,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.4,0,0,2.4,0.1,0.1,C14
Male,Oesophagus,80,0,0,0,0,0,0,0.3,0,0,1.4,1.1,3.6,4.6,3.5,7,8.9,11.8,1.4,1.3,C15
Male,Stomach,155,0,0,0,0,0,0,0.3,0.6,0.6,0.9,2,4.8,8.2,8.9,15.2,17,28.4,2.7,2.6,C16
Male,Small intestine,8,0,0,0,0,0,0,0,0,0,0,0,0.3,0.4,1.3,0.6,1.6,0,0.1,0.1,C17
Male,Colon,338,0,0,0,0,0.2,0.2,1.1,0.6,2.1,4.3,7.6,7.8,17.8,21.7,38.7,32.4,43.3,5.9,5.6,C18
Male,Rectum,310,0,0,0,0,0,0.2,0.8,0.6,1.5,3.7,5.9,6,19.2,26.2,27.9,28.3,41.7,5.4,5.1,C19-C20
Male,Anus,9,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0.4,0.9,1.3,0.8,0.8,0.2,0.2,C21
Male,Liver,226,0,0.4,0.2,0,0,0.2,0,0.6,0.9,2.3,5.1,8.4,14.6,13.3,25.4,23.5,18.1,3.9,3.7,C22
Male,Gallbladder etc.,42,0,0,0,0,0,0,0,0,0.3,0,1.1,0.3,2.5,2.7,3.2,7.3,7.1,0.7,0.7,C23-C24
