Site,All,Age, 0-, 5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75+,Crude,ASR,ICD
Lip,2,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,C00
Tongue,32,0,0,0,0,0.1,0,0.2,0,0,0.3,0.7,1.2,2.4,2.8,9.5,8.9,6.2,0.5,0.9,C01-C02
Mouth,32,0,0,0,0,0,0,0.6,0.5,0.9,0,1,1.2,1.8,3.7,2.4,5.3,9.2,0.5,0.8,C03-C06
Salivary glands,17,0,0,0,0,0.1,0.3,0.2,0.3,0.6,0,0,0.4,1.2,1.9,2.4,3.5,1.5,0.3,0.4,C07-C08
Tonsil,9,0,0,0,0,0,0,0,0,0,0,0.3,0.8,0,1.9,3.6,1.8,0,0.2,0.3,C09
Other Oropharynx,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,5.3,1.5,0.1,0.2,C10
Nasopharynx,369,0,0,0.3,0.7,1.2,1.9,2.2,4.7,6.6,10.5,20.8,22,28.5,29,32,33.6,16.9,6.2,8.5,C11
Hypopharynx,24,0,0.1,0,0,0,0,0,0,0,0.3,0,0,0.6,2.8,8.3,10.6,7.7,0.4,0.8,C12-C13
Pharynx unspec.,3,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0,0,0,1.5,0.1,0.1,C14
Oesophagus,48,0,0,0,0,0,0,0,0.3,0,0.3,1,2,4.7,0.9,10.7,17.7,15.4,0.8,1.4,C15
Stomach,253,0,0,0,0,0,0.2,0.7,0.8,2,3.3,6.5,7.6,19,27.1,52.1,70.8,66.2,4.2,7.4,C16
Small intestine,17,0,0,0,0,0,0,0,0.3,0,0.9,0.3,1.2,1.2,2.8,3.6,1.8,0,0.3,0.5,C17
Colorectal,519,0,0,0,0,0,0.9,2.5,4,5.4,10.5,12.7,23.6,35.6,56,85.2,99.1,132.3,8.7,14.3,C18-C21
Rectum,,,,,,,,,,,,,,,,,,,,,
Anus,,,,,,,,,,,,,,,,,,,,,
Liver,236,0,0.1,0,0.1,0,0,0.4,1,2,4.5,6.2,12.4,19.6,37.4,41.4,44.3,35.4,3.9,6.6,C22
Gallbladder etc.,24,0,0,0,0,0,0.2,0.2,0,0,0.3,0.7,0.8,2.4,2.8,3.6,7.1,4.6,0.4,0.7,C23-C24
Pancreas,49,0,0,0,0,0,0.2,0,0.3,0.3,0.6,1.6,1.2,4.2,5.6,10.7,8.9,13.8,0.8,1.4,C25
"Nose, sinuses etc.",18,0,0,0,0.1,0,0,0.2,0.3,0,0.9,0.3,1.2,0,1.9,4.7,3.5,0,0.3,0.5,C30-C31
Larynx,35,0,0,0,0,0,0,0,0,0.3,0,1,1.2,3,6.5,5.9,12.4,6.2,0.6,1.1,C32
"Trachea,Bronchus,Lung",482,0,0,0,0,0.1,0,0.9,0.8,3.4,5.4,13.7,20,40.4,72.9,101.8,99.1,96.9,8.1,14,C33-C34
Other Thoracic organs,29,0,0,0,0,0,0,0,0,1.1,0.3,0.7,1.6,1.2,2.8,9.5,3.5,4.6,0.5,0.8,C37-C38
Bone,33,0,0,0.1,0.6,1,1,0.2,0.3,0,0.6,0.7,0,1.8,0.9,3.6,3.5,0,0.6,0.6,C40-C41
Melanoma of Skin,33,0,0,0,0,0.1,0,0.2,0.3,0.6,0.3,0.3,2.4,1.8,5.6,4.7,5.3,6.2,0.6,0.9,C43
Other Skin,125,0,0,0,0,0,0,0,1,1.7,1.2,2,3.6,7.1,12.2,23.7,44.3,40,2.1,3.7,C44
Mesothelioma,4,0,0,0,0,0,0,0,0,0,0,0.3,0.4,0,0,1.2,0,1.5,0.1,0.1,C45
Kaposi sarcoma,5,0,0,0,0,0,0.2,0,0.3,0,0.3,0,0.4,0.6,0,0,0,0,0.1,0.1,C46
"Connective,Soft tissue",31,0,0.3,0.1,0,0.1,0.2,0,0.5,0.9,0.6,0.7,0.8,1.8,1.9,8.3,0,4.6,0.5,0.8,C47;C49
Breast,14,0,0,0,0,0,0,0,0,0,0.6,1,0.4,1.8,0,2.4,5.3,0,0.2,0.4,C50
Penis,14,0,0.1,0,0,0,0,0,0.3,0.3,0.9,0.7,0.8,1.8,0,1.2,0,0,0.2,0.3,C60
Prostate,199,0,0,0,0,0.1,0,0,0,0,0,0,4,11.3,24.3,48.5,74.3,92.3,3.3,6.4,C61
Testis,32,0,1.1,0,0,0.3,0.9,0.6,0.8,1.4,0.6,0,0.8,0.6,0,0,1.8,0,0.5,0.5,C62
Other male genital,1,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,C63
Kidney,32,0,0.4,0,0,0,0,0,0.3,0.3,0.6,0.3,2.8,3,4.7,3.6,5.3,1.5,0.5,0.8,C64
Renal Pelvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C65
Ureter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,C66
Bladder,73,0,0,0.1,0,0.1,0,0,0.3,0.3,0.6,2,3.2,4.7,2.8,18.9,23,20,1.2,2.1,C67
Other Urinary organs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,C68
Eye,14,0,1.3,0,0,0,0,0,0,0,0,1,0.8,0,0,0,0,0,0.2,0.3,C69
"Brain, Nervous system",80,0,1.1,0.4,0.4,0.7,0.5,1.1,1,0.9,2.1,1.3,3.2,4.7,3.7,4.7,10.6,6.2,1.3,1.7,C70-C72
Thyroid,55,0,0,0,0.3,0,0,0.4,0,0.6,1.5,1.6,3.6,4.7,2.8,11.8,10.6,4.6,0.9,1.4,C73
Adrenal gland,6,0,0,0,0,0,0,0.2,0,0,0.3,0,0.8,0,0.9,0,1.8,0,0.1,0.1,C74
Other Endocrine,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,C75
Hodgkin disease,,,,,,,,,,,,,,,,,,,,,
Non-Hodgkin lymphoma,,,,,,,,,,,,,,,,,,,,,
Lymphoma,261,0,0.4,1.1,1,2.1,1,1.7,3.9,3.5,3.9,8.5,12.8,14.3,27.1,26.1,37.2,30.8,4.3,6.3,"C81-C85,C96"
Immunoproliferative dis.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C88
Multiple Myeloma,32,0,0,0,0,0,0,0.2,0,0,0.3,1.3,2,3.6,2.8,7.1,5.3,4.6,0.5,0.9,C90
Lymphoid Leukaemia,,,,,,,,,,,,,,,,,,,,,
Leukaemia,212,0,6,4.4,2,2.1,2.8,1.8,2.1,3.4,1.8,2.3,5.2,8.3,3.7,10.7,12.4,7.7,3.6,3.9,C91-C95
Other & unspecified,60,0,0.6,0.3,0.3,0,0.2,0,0,0.6,0.3,0.3,2,9.5,6.5,10.7,7.1,9.2,1,1.6,Other
All sites Total,3522,0,12,7,6,8,10,14,24,37,55,92,149,248,360,574,687,651,58.9,93.6,All
Lip,17,0,0,0,0,0,0,0,0,0,0.3,0,0.9,1.4,3,4,7,3.2,0.3,0.6,C00
Tongue,22,0,0,0,0.2,0.1,0,0.2,0.3,0.3,0.6,0.7,2.8,0.7,1,1.3,3.5,3.2,0.4,0.5,C01-C02
Mouth,41,0,0,0,0,0,0.2,0.4,0.3,0.6,0.6,0,1.9,2.1,2,16,12.3,7.9,0.7,1.3,C03-C06
Salivary glands,18,0,0,0.1,0.2,0,0.5,0.2,0.3,0.3,0.3,0.7,0.5,2.1,1,0,3.5,0,0.3,0.4,C07-C08
Tonsil,3,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,1.3,0,0,0.1,0.1,C09
Other Oropharynx,4,0,0,0,0,0,0,0,0,0,0,0.4,0,0,1,0,1.8,1.6,0.1,0.1,C10
Nasopharynx,152,0,0,0.1,0.3,0.3,1,0.7,1,4.2,4.7,9.8,13,10.5,8,13.3,17.5,7.9,2.6,3.7,C11
Hypopharynx,10,0,0,0,0,0,0.2,0,0,0,0,0.4,0.9,1.4,2,0,3.5,0,0.2,0.3,C12-C13
Pharynx unspec.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C14
Oesophagus,28,0,0,0,0,0,0,0,0,0,0.3,1.1,0.9,4.2,3,2.7,10.5,7.9,0.5,0.9,C15
Stomach,183,0,0,0,0,0.1,0.7,0.7,0.8,2.5,2.5,4.4,9.8,16.8,13.1,36,38.6,55.6,3.2,5.4,C16
Small intestine,14,0,0,0,0,0,0.2,0,0,0.6,0,0.4,0.9,0.7,1,2.7,3.5,3.2,0.2,0.4,C17
Colorectal,367,0,0,0,0,0.1,1.1,2.4,1.6,3.6,6.3,12.7,23.3,32.3,37.1,57.3,75.4,85.8,6.4,10.6,C18-C21
Rectum,,,,,,,,,,,,,,,,,,,,,
Anus,,,,,,,,,,,,,,,,,,,,,
Liver,84,0,0.2,0,0,0.1,0.2,0.2,0.3,0.8,0.3,1.8,1.9,9.8,16.1,12,31.6,14.3,1.4,2.7,C22
Gallbladder etc.,16,0,0,0,0,0,0,0,0.5,0,0.3,0,0.9,0.7,1,6.7,0,6.4,0.3,0.5,C23-C24
Pancreas,40,0,0,0,0,0,0.2,0.2,0.3,0,1.9,1.8,1.4,2.8,4,9.3,7,6.4,0.7,1.2,C25
"Nose, sinuses etc.",7,0,0,0,0,0,0,0,0,0,0.3,0.4,0.5,0.7,1,0,0,3.2,0.1,0.2,C30-C31
Larynx,6,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,0,1.8,3.2,0.1,0.2,C32
"Trachea,Bronchus,Lung",294,0,0,0,0,0,0.2,0.9,1,2.5,2.8,9.5,14,23.9,37.2,77.3,75.4,60.3,5.1,9.2,C33-C34
Other Thoracic organs,27,0,0,0,0,0,0,0,0.3,0,0.6,0.4,1.9,3.5,2,4,8.8,6.4,0.5,0.8,C37-C38
Bone,27,0,0,0.1,0.9,1.2,0.2,0.2,0.3,0,0.3,0.7,0.5,0.7,2,1.3,0,1.6,0.5,0.5,C40-C41
Melanoma of Skin,16,0,0,0,0,0,0,0.2,0,0.3,0.3,0,0.9,1.4,2,2.7,3.5,4.8,0.3,0.5,C43
Other Skin,148,0,0,0,0,0.1,0.2,0.6,0.8,0.3,1.3,5.5,5.6,10.5,12.1,34.7,31.6,58.7,2.6,4.6,C44
Mesothelioma,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,C45
Kaposi sarcoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C46
"Connective,Soft tissue",35,0,0.8,0.1,0.5,0.3,0.3,0.6,0.3,0.8,0,1.1,0.9,1.4,0,2.7,7,3.2,0.6,0.8,C47;C49
Breast,805,0,0,0,0,0,1,2.4,9,21.7,39.6,61.9,59.5,67.4,55.3,56,57.9,38.1,13.9,19.7,C50
Vulva,7,0,0,0,0,0,0,0,0.3,0,0,0.7,0.5,0.7,1,0,0,1.6,0.1,0.2,C51
Vagina,18,0,0,0,0,0,0,0.2,0,0.6,0.9,0.4,0,2.8,1,4,3.5,1.6,0.3,0.5,C52
Cervix Uteri,471,0,0,0,0,0,0.3,2.4,5.4,12.4,23.6,31.3,38.6,36.5,32.2,36,36.8,23.8,8.1,11.6,C53
Corpus Uteri,119,0,0,0,0,0,0,0.6,1.3,2.8,3.1,6.9,10.2,15.4,9,8,10.5,11.1,2.1,3.1,C54
Uterus unspec.,81,0,0,0,0,0,0.3,0.4,0.3,2,4.4,5.1,7,8.4,5,1.3,8.8,4.8,1.4,2,C55
Ovary,259,0,0.2,0.1,0.6,1.9,3,1.5,2.3,5.4,8.8,16.4,16.7,19.7,19.1,21.3,10.5,12.7,4.5,6.1,C56
Other Female Genital,4,0,0,0,0,0,0,0,0,0.3,0.3,0,0.5,0,0,1.3,0,0,0.1,0.1,C57
Placenta,9,0,0,0,0,0.1,0.3,0.2,0.5,0.8,0,0,0,0,0,0,0,0,0.2,0.1,C58
Kidney,17,0,0.3,0,0.2,0,0.3,0.2,0,0.3,0.3,0.4,0.9,1.4,1,0,3.5,1.6,0.3,0.4,C64
Renal Pelvis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C65
