Gender,Site,All Ages (Number of cases),Age Unknown, 0-4, 5-9,10-,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Crude Rate,ASR (World Std),ICD 10th
Male,Lip,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,C00
Male,Tongue,32,0,0,0,0,0,0.2,0.2,0.5,1,0.5,1.7,0.3,1.3,1.5,3.1,2.4,2.8,0.5,0.6,C01-C02
Male,Mouth,23,0,0,0,0,0,0,0,0,0,0.5,0.6,0.3,0.8,2,3.1,3.7,4.7,0.4,0.5,C03-C06
Male,Salivary glands,28,0,0,0,0,0.2,0.2,0.5,0.5,1,0.8,1.4,1,0.8,0,0.8,1.2,2.8,0.5,0.5,C07-C08
Male,Tonsil,7,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0.4,0,0,2.4,0.9,0.1,0.1,C09
Male,Other Oropharynx,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,C10
Male,Nasopharynx,665,0,0,0,0.5,2.3,2.6,4.6,7.3,17.3,20.2,27.4,33,34.5,34,36.1,30.5,18.8,11.2,11.6,C11
Male,Hypopharynx,9,0,0,0,0,0,0,0,0,0,0,0.3,0,0.4,0.5,2.4,3.7,0,0.2,0.2,C12-C13
Male,Pharynx unspec.,2,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.5,0,0,0,0,0,C14
Male,Oesophagus,57,0,0,0,0,0,0,0,0.5,0,0.8,1.7,0.7,5.1,4.6,3.9,6.1,12.2,1,1.1,C15
Male,Stomach,337,0,0,0,0,0,0,0.5,0.3,3.5,5.9,5.3,9.2,13.9,30,39.2,52.4,61,5.7,6.6,C16
Male,Small intestine,6,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.8,0,0,0,0,0.1,0.1,C17
Male,Colon,349,0,0,0,0.2,0,0.2,1.1,3.1,2.3,4.1,7.7,13.8,18.1,23.9,34.5,51.2,55.4,5.9,6.7,C18
Male,Rectum,288,0,0,0,0,0.2,0.6,0.5,0.5,3,2.6,6.1,7.6,16.4,21.8,30.6,51.2,47,4.8,5.6,C19-C20
Male,Anus,1,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,C21
Male,Liver,289,0,0,0,0,0,0.2,0.5,1.8,2.5,3.6,3,11.5,24.4,32,24.3,31.7,29.1,4.9,5.5,C22
Male,Gallbladder etc.,54,0,0,0,0,0,0,0.2,0,1,0,0.8,1.3,3.4,3.6,11,8.5,5.6,0.9,1.1,C23-C24
Male,Pancreas,88,0,0,0,0,0,0,0,0.3,0,0.3,3,3,5.1,5.6,17.3,17.1,6.6,1.5,1.8,C25
Male,"Nose, sinuses etc.",18,0,0,0,0,0.2,0,0,0,0,0.8,1.4,0.7,0.4,0.5,2.4,0,1.9,0.3,0.3,C30-C31
Male,Larynx,75,0,0,0,0,0,0,0,0.3,0,0.5,0.8,4,4.2,6.1,10.2,9.8,13.1,1.3,1.5,C32
Male,"Trachea,Bronchus,Lung",619,0,0,0,0,0,0.6,0.5,1.8,2.8,6.6,12.2,21.7,32.4,62.4,89.4,81.7,74.2,10.4,12.2,C33-C34
Male,Other Thoracic organs,8,0,0,0,0,0,0.2,0.2,0,0.5,0.5,0,0.3,0.4,0,0,0,0,0.1,0.1,C37-C38
Male,Bone,48,0,0,0.3,2.3,1.2,0.8,0.5,0.8,0.5,1.5,0.8,0.7,0.4,0.5,0.8,0,0,0.8,0.8,C40-C41
