date,Vac_Cat5,Vac_Cat4,Vac_Cat3,Vac_Cat2,Vac_Cat1,NoVac_Cat5,NoVac_Cat4,NoVac_Cat3,NoVac_Cat2,NoVac_Cat1
2021/07/26,2,11,27,872,316,93,66,56,6173,6900
2021/07/27,4,20,36,1376,505,83,104,99,5334,8556
2021/07/28,5,9,35,1489,494,154,86,85,6423,8625
2021/07/29,3,20,55,2026,649,44,118,143,6273,7839
2021/07/30,1,13,56,2556,737,24,66,124,5854,7409
2021/08/01,10,18,143,1858,804,96,47,431,4515,9228
2021/08/02, 2,17,49,2380,1077,85,47,86,4315,7706
2021/08/03, 8,18,48,2255,786,89,67,87,6265,7482
2021/08/04,8,10,61,2671,842,79,98,119,6772,9159
2021/08/05,9,10,61,3295,1285,105,69,144,6089,9529
2021/08/06,12,21,56,3240,963,36,57,91,7263,9150
2021/08/07,4,28,53,2972,1121,444,100,111,6218,8206
2021/08/08,5,14,51,3244,1146,180,67,84,6115,7782
2021/08/09,7,15,80,3142,1312,118,42,110,5081,7329
2021/08/10,6,33,79,3201,1313,33,81,153,6475,8617
2021/08/11,6,20,57,3633,1422,151,57,109,7167,8158
2021/08/12,12,9,19,1452,1228,180,75,145,9607,8941
2021/08/13,23,24,21,1496,1139,248,171,183,9346,8817
2021/08/14,26,12,27,1413,1168,362,79,170,9154,8259
2021/08/15,13,5,23,1341,1362,185,51,96,8246,9224
2021/08/16, 15,9,18,1353,1540,70,46,140,7788,8761
