en,cn
Malaysia Covid19 (Updated Daily Based on KKM Data),马来西亚新冠疫情 （以卫生部公布数据每日更新）
Application Developed by Dr. Ho Ket Li,由 Dr Ho Ket Li 开发
How Many Days of Data e.g. 7,多少天的数据，例如 7
State (First letter of each word must be Capitalised e.g. WP Kuala Lumpur),州属（每个单词的首字母必须大写，例如 WP Kuala Lumpur）
District (First letter of each word must be Capitalised e.g. Hulu Langat),县（每个单词的首字母必须大写，例如 Hulu Langat）
This App is Free for Public Usage at Their Own Risk. The Developer will Not Accept Responsibility for Any Mistake of the Data and Figures,此应用程序可免费供公众使用，风险自负。 开发者将不对数据和数字的任何错误承担责任
Vaccination,疫苗接种
Percentage of Population with 2 Doses of Vaccine,接种 2 剂疫苗的人口百分比
"For previous infectious diseases, the threshold to achieve herd immunity is about 80% for Polio and 95% for measles. We are yet to know what proportion of the population need to be vaccined to achieve herd immunity for COVID19.",对于以前的传染病，获得群体免疫的门槛大约是脊髓灰质炎的 80% 和麻疹的 95%。 我们尚不知道需要接种多大比例的人口才能实现对 COVID19 的群体免疫。
New Cases,新病例
Daily Tests,测试数量
The daily tests reported here is a sum of antigen rapid test and PCR tests.,这里报告的每日测试是抗原快速测试和 PCR 测试的总和。
Positive Rate,阳性率
"Because limited testing makes it likely that many cases will be missed, the positive rate can also help our understanding of the spread of the virus. According to criteria published by WHO in May 2020, a positive rate of less than 5% is one indicator that the epidemic is under control in a country.",由于有限的检测可能会遗漏许多病例，因此阳性率也有助于我们了解病毒的传播情况。 根据世界卫生组织 2020 年 5 月公布的标准，阳性率低于 5% 是一个国家疫情得到控制的指标。
New Deaths,新死亡案例
"With more population being vaccinated, the daily new cases may increase but the new deaths will not increase with same magnitude.",随着更多人口接种疫苗，每日新增病例可能会增加，但新增死亡人数不会以同样的幅度增加。
Latest New Deaths by State,各州最新死亡人数
Latest Hospital Bed Usage by State,各州最新病床使用情况
"With more population being vaccinated, the daily new cases may increase but the number of patients being hospitalised will not increase with same magnitude.",随着接种疫苗的人数增加，每日新增病例可能会增加，但住院人数不会以同样的幅度增加。
Latest ICU Bed Usage by State,各州最新 ICU 床位使用情况
"With more population being vaccinated, the daily new cases may increase but the number of patients being admited to ICU will not increase with same magnitude.",随着更多人接种疫苗，每日新增病例可能会增加，但入住 ICU 的患者人数不会以同样的幅度增加。
Latest Ventilator Usage by State,各州最新的呼吸机使用情况
"The ventilator usage reported here is the sum of portable and non-portable ventilator. With more population being vaccinated, the daily new cases may increase but the number of patients who need ventilator will not increase with same magnitude.",此处报告的呼吸机使用量是便携式和非便携式呼吸机的总和。 随着接种疫苗的人口越来越多，每日新增病例可能会增加，但需要呼吸机的患者人数不会以同样的幅度增加。
Category of Active Clusters,活跃感染群的类别
The first figure shows the number of active clusters contributed by different categories.,第一个图显示了不同类别的活跃感染集群的数量。
The second figure shows the number of patients per active cluster contributed by different categories.,第二个图显示了不同类别的活跃感染群的平均患者数量。
Active Cluster by State,各州属的活跃感染群
Active Cluster by State and District,各州县的活跃感染群
